Positive,Negative
We also analyzed the relationship between miR-133b expression and clinicopathological factors of bladder cancer.,"Genome-wide gene expression analysis and TargetScan database studies showed that ZEB1, which has been shown to promote tumor invasion and migration through E-cadherin gene silencing, is a promising candidate target gene of miR‑200c."
Bcl-w and Akt1 protein expression in 41 bladder cancer specimens and adjacent normal tissues was detected by Western blot.,"Among luminal tumors, these miRNAs are expressed at higher levels in luminal A versus B tumors."
"After transfection of miR-133b mimics or inhibitor into a T24 human bladder cancer cell line, Bcl-w and Akt1 protein and mRNA expression were examined by Western blot and RT-PCR, respectively.",The aim of this study was to evaluate the effects of SNPs in mature miRNA sequences on clinical outcome in patients with nasopharyngeal carcinoma receiving radiotherapy.
"The effect of miR-133b on T24 cell proliferation and apoptosis was measured by CCK-8 tests and flow cytometry, respectively.",Background: Temozolomide (TMZ) resistance is a serious hindrance in clinical chemotherapy for glioma.
Bim is the target gene of miR-214.,"Overexpression of miR-30a-3p downregulates DNMT3a or blocked DNMT3a by interference vector, significantly inhibited the proliferation and G1/S transition in A549 cells via regulating p38 MAPK pathway, and induced the apoptosis in A549 cells via regulating Bcl-2/Bax protein levels."
"In brief, these results indicated that Bim was a direct target of miR-214.","MicroRNAs (miRNAs) regulate mRNA stability and protein expression, and certain miRNAs have been demonstrated to act either as oncogenes or tumor suppressors."
PKM2 is a direct target of miR-122.,"The expression of miR-135a was determined by real-time polymerase chain reaction, while its effect on cell proliferation, migration, and invasion was determined by MTT, without and with matrigel, respectively."
FOXO3A is a target of miR-29a.,Functional studies revealed that restoration of miR-25 expression inhibited cell proliferation and migration.
"PTEN was one of the validated miR-21 target mRNAs, which has been reported to be involved in various diseases.",Overexpression of HDAC10 reduced CC cell biological activities in vitro and tumor growth and lung metastases in vivo.
p38 is a direct target of miR-17/106 and is responsible for the NSPC competence transition.,"The rare codons upstream of the target site regulate miR143-induced translational knockdown of PTN, which provides more insight into the mechanism of adipogenic differentiation."
miR-342 directly regulates ID4.,Further research indicated that miR-129-5p suppressed PDPK1 mRNA and protein levels in HK-2 cells.
"Luciferase experiments indicated BECN1, but not ATG5 as a direct target of miR-216a.","Moreover, the contextual features need to be present in a specific configuration relative to miRNA binding sites and could either represent protein binding sites or provide an appropriate structural context."
"miR-125a regulates cell cycle, proliferation, and apoptosis by targeting the ErbB pathway in acute myeloid leukemia","During osteogenic differentiation, ALP activity, calcium nodule, the levels of osteoblast markers were increased in VICs."
MiR-1 targets PIK3CA and inhibits tumorigenic properties of A549 cells.,Overexpression of ING4 inhibited the migration and invasion of Tsc2-deficient cells while silencing of ING4 reversed the RARβ-mediated suppression of cell migration and invasion.
"Using miRNA target prediction algorithms and reporter assays, we demonstrated that miR-195 suppressed the expression of MYB both at the mRNA and protein level, and was directly bound to the 30untranslated region of MYB mRNA.","Several new targets were identified for all of these miRNAs, with the potential to provide new insight in the process of UVB-induced senescence at a genome-wide level."
"miR-30C is upregulated by sulfuretin and selectively targets cyclin D1 and D2, but not cyclin D3, mediating sulfuretin-induced cell death",Stably overexpressing PCBP1 BCPAP cells attenuated tumor formation completely as compared to empty vector overexpressing cells in xenograft assay.
The 3  -UTR of GATA-2 Is Targeted by miR-27a,"In addition, a miR-24 binding site in the 3'UTR of rat STING was identified."
Sox5 is a direct target of miR-132 and miR-15a/16,"Meanwhile, luciferase assays were performed to validate PTCH1 as miR-212 target in PDAC."
ABL is a direct target of miR-30e,These effects of miR-376c were partially compensated by the overexpression of ALK7.
miR-708 directly regulates NNAT expression through the perfect binding site in the 3' UTR.,"GDS4664), we found that MUC4 upregulation is associated with lymph node metastasis in cervical cancer."
miRNA-221 directly targets PAK1,"Here, we used a novel functional genetic approach and identified miR-221 and miR-222 (miR-221&222) as potent regulators of p27(Kip1), a cell cycle inhibitor and tumor suppressor."
EZH2 is an essential direct target of miR-138.,"However, the function of miR-34a in the control of the differentiation program of specific neural cell types remains largely unknown."
CCND2 is a target of miR-26b.,"As one of the first lines of host defense, monocytes play important roles in clearing infected microbes."
Transfection of the miR-26b mimic reduced the luciferase activity controlled by the 3UTR of CCND2 mRNA and STK39 mRNA in HepG2 cells.,"The Rho-associated protein kinase (ROCK1) has been found to act as key regulator of actin cytoskeleton reorganization, a process closely associated with cancer cell invasion."
"When the predicted seed-matching sites were generated to diminish the interaction between miR-26b and the 3UTR sequences, miR-26b lost its ability to regulate luciferase activity controlled by the mutant 3UTRs of CCND2 mRNA and STK39 mRNA.","miR-137 was downregulated in MCF-7/ADM cells, and its expression was found to inversely correlate with Y-box binding protein-1 (YB-1) and P-glycoprotein (P-gp) levels in breast cancer cells."
MiR-762 targets the 3'UTR of the IFITM5 gene in Saos-2 cells.,"Consistently, an orthotopic mouse model also demonstrated the suppressive effects of miR-98 overexpression on tumor invasion and PBX3 expression."
"In addition, the relative luciferase activity did not change when cotransfection was done with miR-762 and pmirGLO-mUTR containing a mutant binding site (Figure 1C), indicating that IFITM5 3'UTR is a direct target of miR-762.","The depletion of miR-21 or the overexpression of Smad 7 blocks TGF-β1-induced CAF formation, whereas the overexpression of miR-21 or the depletion of Smad 7 promotes CAF formation, even without TGF-β1 stimulation."
miR-99a directly targets the mTOR.,"In most QSCs and activated SCs, miR-206 expression suppresses Pax3 expression."
"Next, we explored the mRNA and protein level of mTOR in the SP cells, on transfection.",LncRNAs are host genes of intronic microRNAs that regulate intracellular splicing to form pre-miRNAs that are processed to mature miRNAs.
Administration of miR-99a mimic suppressed expression of both mRNA and protein,"We used an integrated trimodality approach to identify targets of miR-218 in NPC, cervical, and breast cell lines."
ATG14 Is a Target Gene of miR-195.,MicroRNAs are small noncoding RNAs that regulate gene expression by targeting specific mRNAs for degradation or translation inhibition.
"The reporter assay showed that miR-195 significantly repressed the luciferase expression of the luciferase reporter vector, and that the mutation of 4 nucleotides in the miR-195-binding site in ATG14-30- UTR led to the complete abrogation of the suppressive effect.","However, it is not known how the calcium signaling pathway is downregulated by nsy-4 and nsy-5 in the AWC(ON) cell."
These data show that knockdown of hsa-miR-299-3p together with other miRNAs that target IGF1 can release the suppression of IGF1 with greater efficacy at low concentrations of the inhibitors used.,"Transfection of A549 cells with miR-26b-5p mimic inhibited proliferation and induced apoptosis, while transfection of Huaier-treated A549 cells with a miR-26b-5p inhibitor reversed the effects of Huaier."
IGF1 as potential target of hsa-miR-299-3p.,"Chromatin immunoprecipitation analysis showed that MMSET binds to the miR-126* promoter along with the KAP1 corepressor and histone deacetylases, and is associated with heterochromatic modifications, characterized by increased trimethylation of H3K9 and decreased H3 acetylation, leading to miR-126* repression."
CCND1 and CCND2 are targets of miR-603.,"The downregulation of miR-204-5p was confirmed in our gastric cancer (GC) cohort, and we showed that ectopic expression of miR-204-5p inhibited, whereas silencing miR-204-5p expression promoted GC cell proliferation in vitro."
"After the transfection of miR-603, we found an evident reduction in cyclin D1 and D2 protein levels as compared with the scrambled oligonucleotide.",The knockdown of FASTK induced similar effects on astrocytoma cells as those induced by the overexpression of miR-106a-5p.
Forced overexpression of miR-92a in endothelial cells blocked angiogenesis in vitro and in vivo.,Acquired resistance to classical chemotherapeutics such as docetaxel (DTX) remains a critical challenge in breast cancer (BCa) treatment.
"They include the calcium sensor gene visinin-like 1 (VSNL1) and the ionotropic AMPA glutamate receptor subunit (GRIA2), which were found to be down-regulated in the same cortical tissue from the schizophrenia group.","FMRP can regulate the translation via the cross-talk with the miRNA machinery, but the functional association among FMRP, miRNAs and mutual target mRNAs has rarely been studied."
Mutation at the seed sequence of the TLR4-3UTR where let-7e was predicted to bind (mutTLR4-UTR-luc) abolished suppression by let-7e (Figure 4C).,Identification of miR-34/449 targets related to small GTPase pathways led us to characterize R-Ras as a key regulator of this process.
"We report that transcriptional activation of apoptosis-associated tyrosine kinase (AATK), essential for neuronal differentiation,also generates miR-338 from an AATK gene intron that  silences  a  family  of  mRNAs  whose  protein products are negative regulators of neuronal differentiation.",Wild-type and mutant luciferase reporter plasmids were constructed according to the predicted miR-34a binding site on the 3'-untranslated region (UTR) of the ACSL1 mRNA and then transfected into HEK293 cells.
"A complete compilation of the >30 3'UTRs we tested, including those of several newly identified miR-122 targets, is given in Supplemental Figure 7.","In psoriatic lesional and non-lesional skin, TLR4-positive cell rates and the number of positive cells per square millimetre were higher than healthy skin."
No changes in CCND1 and CCND2 mRNA levels were detected after transfection with miR-603 in comparison with the scrambled oligonucleotide or untransfected cells,After-effects of diabetic cardiomyopathy are far more lethal than non-diabetic cardiomyopathy.
"transfection of miR-603, we found an evident reduction in cyclin D1 and D2 protein levels as compared with the scrambled oligonucleotide (Figure 3B).","Conversely, the RNA-binding protein, coding region determinant-binding protein, was shown to be highly expressed in melanoma, directly binds to the 3'-UTR of MITF mRNA, and prevents the binding of miR-340 to its target sites, resulting in the stabilization of MITF transcripts, elevated expression, and transcriptional activity of MITF."
miR-10b targets PTEN.,These results indicate that miR-181b can negatively regulate the proliferation of HEKs in psoriasis by targeting TLR4.
The reduction of PTEN protein expression by miR-10b was dependent on its direct binding to its 30-UTR.,"The present studies demonstrate that the MUC1 mRNA 3' untranslated region (3'UTR) contains a highly conserved motif for binding of a novel miRNA, miR-1226, that has no known targets."
"Conversely, no effect was observed by miR-10b on the luciferase activity when we assayed a reporter vector carrying a deletion in the seed sequence for miR-10b",Regulation of sugarbabe levels by nutrients and by miR-14 combines to allow the fly to manage resource mobilization in a nutritionally variable environment.
miR-7 directly targets KLF4.,"Interestingly, miR-143 expression was inversely associated with HK2 protein level but not mRNA level in human lung cancer samples."
"The deletion of target site 1 (MT1) partially inhibited the suppressive effect of miR-7, whereas the deletion of the target site 2 (MT2) or a combination of both sites almost completely attenuated the effect of miR-7 (Fig.2E).",AIM: To identify molecular biologic differences between two gastric adenocarcinoma subgroups presenting different prognoses through the analysis of microRNA and protein expression.
These results strongly suggest that miR-7 is capable of suppressing the expression of KLF4 by binding to these target sequences of 3'-UTR.,"OBJECTIVE: To explore the role and regulation of guanine nucleotide-binding protein G(i), α-1 subunit (GNAI1) in hepatocellular carcinoma (HCC)."
"We found that the deletion of target site 1 (MT1) partially inhibited the suppressive effect of miR-7, whereas the deletion of the target site 2 (MT2) or a combination of both sites almost completely attenuated the effect of miR-7 (Fig.2E).",miR-130b was significantly up-regulated in osteosarcoma (OS) cells.
Hnf1b is a miR-802 target gene.,The ERK-MAPK signaling pathway activity had an increasing tendency to respond to miR-21 upregulation and a decreasing tendency to respond to miR-21 down-regulation during the first 4 days of adipogenesis and osteogenesis.
Inclusion of the Hnf1b 39 untranslated region (UTR) into a luciferase reporter construct reduced luciferase activity compared to a reporter lacking the Hnf1b 39 UTR upon transfection into Hepa1-6 cells (Fig.4a and Supplementary Fig.5c).,Microarray was used to identify microRNA expression profile and qRT-PCR for validation.
Overexpression of miR-802 led to a further reduction of luciferase activity when the reporter construct contained the Hnf1b 39 UTR (Fig.4a).,Previous studies have revealed that miR-26b is downregulated in a wide range of malignant tumors and plays an important role in the regulation of carcinogenesis and tumor progression.
"In contrast, mutation of the conserved miR-802 binding motif abrogated reduced luciferase expression","MicroRNAs are new regulators for several physiological functions, including the regulation of metabolism."
"Expression of primate-specific exonic microRNA-198 (miR-198), located in the 39- untranslated region of follistatin-like 1 (FSTL1) messenger RNA, switches to expression of the linked open reading frame of FSTL1 upon wounding in a human ex vivo organ culture system.","By using MLL-AF9-transformed cells, we demonstrate that ectopic expression of miR-150 inhibits blast colony formation, cell growth, and increases apoptosis in vitro."
MiR-106a can directly regulate the expression of STAT3 via binding to its 3' UTR.,Further analysis showed that ER levels were elevated in miR-290-expressing tumors and positively correlated with apoptosis.
miR-370 directly targets Dnmt3a.,We began our screen for hTERT-targeting miRNAs with a miRNA microarray.
"Similar results were achieved in the over-expression and rescue experiments (Fig.6E and F), whereby over-expression of miR-370 decreased Dnmt3a protein levels, and this suppression was rescued by the miR-370 anti-strand inhibitor.",Upregulation of PTEN and downregulation of p-AKT were observed in retrieved xenografts following treatment with miR-21 inhibitors.
Oxr1 is a downstream target of miR-200b.,"Thus, our data collectively suggest that two common polymorphisms in pre-miR-125a might contribute to the genetic predisposition to RPL by disrupting the production of miR-125a, which consequently interfered in the expression and function of target genes of miR-125a."
"CDK4, CDK6, Cyclin D2, and EZH2 Are Targets of miRNA-124a.","MiR-135a overexpression protected HL-1 cells from H/R injury in high glucose condition, while this effect was reversed by up-regulated TXNIP."
"Primary targets of miR-124a, including CDK4, CDK6, cyclin D2, and EZH2, were dramatically suppressed by miR-124a, as expected.","The effects of miR-664 on osteosarcoma cell migration and invasion were evaluated by cell invasion assays, migration assays, and three-dimension spheroid invasion assay."
LPA1 is a target of miR-23a.,Bioinformatics analysis revealed the putative miR-9 binding sites in the 3'-untranslated regions (3'-UTR) of cyclin D1 and Ets1 mRNA.
Western blotting analysis was used to test the protein levels of LPA1 in cardiomyocytes transfected with pre-miR-23a or miR-23a inhibitor.,"Antiretroviral therapy (ART) can affect the miRNA expression profile, but differentially expressed miRNAs still remain to be identified."
"Compared to the control scramble group, over-expression of miR-23a significantly attenuated the protein levels of LPA1.",Accumulating evidence suggests that hypoxia-inducible factor 1α (HIF-1α) regulates numerous miRNAs and is crucial for cellular response to hypoxia.
And miR-23a knockdown with miR-23a inhibitor increased the levels of LPA1 proteins.,Previous studies have evaluated the role of miRNAs in cancer initiation and progression.
p21 is a direct target of miR-17-5p in endometrial cancer cells.,"BACKGROUND: MicroRNAs (miRNAs) play a key role in the development of heart failure, and recent studies have shown that the muscle-specific miR-1 is a key regulator of cardiac hypertrophy."
"miR-17-5p mimics led to the attenuation of the fluorescence of the wt 3'-UTR by >2-fold compared with the negative control, whereas the mut 3'-UTR demonstrated an abrogated response to miR-17-5p.","Recently, microRNAs have emerged as important potential biotherapeutics for several diseases; however, whether miRNAs operate in the modulation of AChRs remains unknown."
"miR-33b binds to the 3'UTRs of PCK1, G6PC, SRC1, ROR, and CREB1.","Thus, the purpose of this study was to identify and characterize senescence-associated miRNAs (SA-miRNAs) and to investigate the role of SA-miRNAs in IR-induced senescence."
"miR-33b significantly repressed PCK1, G6PC, SRC1, ROR, and CREB1 3'UTR activities.","Moreover, restoration of TRB3 expression markedly abolished the effect of miR-124 on hepatic TG metabolism."
"Mutation of the miR-33 target sites relieved miR-33 repression of the PCK1, G6PC, SRC1, ROR, and CREB1 3'UTR activities, consistent with a direct interaction of miR-33 with these sites (Fig.4B).","p21 and BIM, which were identified as target genes of miR-106b-93-25 cluster, increased in TSA treated tumor cells and were responsible for cell cycle arrest and apoptosis."
miR-7 binds to SET8 3'-UTR and that SET8 is a downstream target of miR-7.a 60% reduction in luciferase activity with wt-1 (the full-length wildtype SET8 3'-UTR) in MCF-7 cells transfected with miR-7 mimics.,"These results suggest that upon binding with NFIA, miR-223 regulates functional effectors in pathways of apoptosis, cell proliferation, G protein signaling, inflammation, and smooth muscle contraction."
"Moreover, the binding of miR-7 to sites B and D of SET8 3'-UTR was specific, as the point mutation of corresponding sites (mut-2 and mut-4) disrupted miR-7 repressive activity on reporter gene expression, whereas mutation of sites A (mut-1) did not change luciferase activity.","Additionally, high serum exosomal miR-106b-3p expression in patients was correlated with a poor prognosis."
These results indicated that the REV3L 3'UTR harbored two miR-25/32-binding sites.,"The early phases of carcinogenesis resemble embryonic development, often involving the reexpression of embryonic mesenchymal genes."
Down-regulation of miRNA-200a in a human meningioma cell line promoted tumor growth by activating the Wnt/ b -catenin signaling pathway.,"MicroRNAs (miRNAs) are major regulatory non-coding RNAs that have significant effects on several metabolic pathways; however, little is known on whether miRNAs regulate hepatic urea synthesis."
miR-124 targets AMPA-specific glutamate receptors.,Our results present dysfunctional miRNAs in endometrial cancer and identify a crucial role for miR-204-FOXC1 interaction in endometrial cancer progression.
HEK293 cells were transfected with luciferase reporter constructs carrying 3' untranslated region (UTR) sequences of AMPA receptors with intact miR-124 binding sites (V) or mutated miR-124 binding sites (Vm).,"PDCD4 is frequently downregulated in various human cancers; however, the molecular mechanism accounting for the loss expression of PDCD4 in cancers is not fully understood."
Overexpression of let-7i induced autophagy by targeting IGF1R,"To explore the mechanism of chemoresistance in miR-10b transfected cells, we examined whether miR-10b inhibits the pro-apoptotic BH3-only Bcl-2 family member BIM(BCL2L11), a key mediator of chemotherapy-induced cell death."
miR-14 Targets the ip3k2 Gene to Regulate Autophagy during Salivary Gland Cell Death,"miR-1 also regulates the muscle transcription factor MEF-2, which results in altered presynaptic ACh secretion, suggesting that MEF-2 activity in muscles controls a retrograde signal."
c-Myc is identified as a direct target of miR-451,Enzyme-Linked Immunosorbent Assay and caspase-3 activity assay were employed to evaluate apoptosis.
the microRNAs Let-7 and miR-16 targeted the Mtor and Rictor mRNAs.,"Proliferating cell nuclear antigen (PCNA) immunostaining and TUNEL were performed in surgical samples to determine the effects of chemotherapy on cancer cell proliferation and apoptosis, respectively."
miR-155 targets myosin light chain kinase (MYLK).,"Therefore, inhibition of miR-23b-3p may be a useful therapeutic target for the treatment of renal cell carcinoma."
we show that miR-503 targets a homologous DNA region in the 3'-UTR region of the Fanconi anemia complementation group A protein (FANCA) gene and represses its expression at the transcriptional level.,The luciferase reporter identified Lin28 as the direct binding target of let-7a in both breast cancer cell lines.
STAT6 is a direct target of miR-361-5p and promotes Bcl-xL.,The co-IP experiment confirmed that SKP1 could directly interact with PLK2.
"Luciferase assays found that luciferase reporter gene expression were effectively inhibited by has-miR-320a mimics in the culture supplied with plasmid containing the 30-UTR of ARF1, but the luciferase reporter gene expression were not inhibited by has-miR-320a mimics in the culture supplied with plasmid containing the 30-UTR of ARF1 mutant, which indicated that 30-UTR of ARF1 may be one specific binding site of has-miR-320a (Figure 4).","Vascular changes and photoreceptor degeneration are features of age-related macular degeneration, diabetic retinopathy and macular telangiectasis."
"The discovery of SFRS1 as direct target of miR-10a and -10b supports the emerging functional interaction between two post-transcriptional mechanisms, microRNAs and splicing, in the neuronal differentiation context.","Although p18Ink4c inhibits cell proliferation in general and regulates E2F1 expression in HCT116 cells, it appears not to function as a tumor suppressor in cervical cancer cells lacking an intact G1 checkpoint because of viral E7 degradation of pRB."
"Moreover, mutation with three base pairs of the miR-27a binding sites of PIK3CD evidently abrogated the repression of luciferase activity due to miR-27a overexpression (Figure 3B).","However, its role and relevance in gastric cancer are still largely unknown."
"When miR-589 was added as either mature miRNA with two partially com- plementary strands or as a miRNA mimic with two fully complementary strands, we observed increased levels of COX-2 protein (Figure 3B) and mRNA (Figure 3C).","Our results identify a regulatory circuit involving miR-203 and c-JUN, which provides functional control over basal cell proliferation and differentiation."
This increased expression of COX-2 further characterizes miR-589 as an endogenous activating factor in the nucleus.,Differentially expressed genes (DEGs) and miRNAs (DEmiRNAs) in the kidney between control and DN patients were screened out.
"We co-transfected cells with a luciferase reporter construct containing the wild type miR-34a binding site within SIRT1 3'UTR(Luc-SIRT1 Wt 3'UTR), or a mutated sequence (Luc-SIRT1 Mut 3'UTR), together with pre-miR-34a.","MicroRNAs (miRNAs) are single-stranded, noncoding RNAs that are important in many biological processes."
"While miR-34a overexpression led to a decrease in luciferase activity (p <0.05), UDCA resulted in increased firefly activity in both control and miR-34a overexpressing cells (p <0.01) (Fig.3B, right panel).",A luciferase reporter assay assessed the miR-130b targeting potential of DICER1.
Neither pre-miR-34a nor UDCA had any major effect in cells transfected with Luc-SIRT1 Mut 3'UTR.,We also found that miR-194 correlates with Sox5 in osteoarthritis.
We constructed a vector encoding either the partial wild-type sequences of 30-UTR of ITGA6 or those with a deleted miR-29s target site (Figure 4C).,"In this study, we used miRNA microarray to identify the miRNAs that are regulated by RUNX3 and found that miR-29b showed the most up-regulation in RUNX3 over-expressed cells compared with the control cells."
"The luminescence intensity was significantly reduced by transfection of miR-29s with the vector of wild-type 30-UTR of LAMC2 (Po0.0083, Figure 4D).",The gene target of miR-145 was confirmed by luciferase assay and Western blot.
"To confirm that TIP30 is a direct target of miR-10b, we used a TIP30 30 untranslated region (UTR) luciferase construct, and a mutant construct in which 6 nucleotides in the potential binding site were replaced (Figure 1e).","Moreover, miR-150 induced MET-like changes in TE-8 cells through ZEB1 degradation (e.g., E-cadherin expression, vimentin repression, epithelial morphology, and suppression of migration ability), and significantly inhibited tumorigenicity and tumor growth in a mouse xenograft model."
"Co-transfection of PANC-1 cells with the TIP30 30UTR construct and miR-10b precursor caused a 50% decrease in luciferase activity compared with the negative control, and this suppression of TIP30 expression was completely reversed by the six-nucleotide substitution in the core binding site (Figure 1f).",Mechanistic investigations indicated that prometastasis function of PAX3 was mediated by upregulating downstream target MET.
"Forty eight hours after transfection, the luciferase activity of the miR-181a group was significantly lower than that of the NC group (P < 0,05), and the reduction was rescued in the mutation group (Figure 1C).",Our study confirmed that IR treatment significantly suppressed miR-222 levels in a dose-dependent manner.
"To investigate whether miR-490-3p directly bind to the 39UTR regions of Nanog, we performed miRNA dual luciferase reporter assay by constructing the wild type and mutant type luciferase reporter plasmids containing the binding region of the 39UTR of Nanog mRNA.","Luciferase reporter assays demonstrated that miR-574-3p directly binds to the 3' UTR of several target genes (such as RAC1, EGFR and EP300) that are components of 'Pathways in cancer'."
"We found that co-transfection of miR-490-3p mimics and pGL3-Nanog 39UTR reporter plasmids significantly decreased the luciferase activity in 293T cells, as compared with the control (Figure 3D, Figure 3E).","In addition, miR-1260b promoted renal cancer cell proliferation and invasion in RCC cells."
These results suggested that miR-490-3p could directly target Nanog.,"Stable transfection of the miR-378a-5p precursor, mir-378a, into HTR8/SVneo cells enhanced cell survival, proliferation, migration and invasion."
"miR-129-2 and miR-335, both of which target SOX4 for degradation, are co- repressed in human PDAC cases associated with up-regulated SOX4 in a statistically significant way.",The early events mediating these effects are unknown.
miR-421 is over-expressed in SKX cells and targets the 3'-UTR of ATM,Effective treatment for metastatic liver tumors is not available.
MiR-424 and miR-503 target FGFR1 and are regulators of FGF signaling,"In mouse models of CRC, miR-103/107 overexpression potentiated local invasion and liver metastasis effects, which were suppressed by reexpression of DAPK or KLF4."
MiR-424 and miR-503 downregulation correlates with FGF2 and FGFR1 upregulation in PAH PAECs,"SGI-1776, a biochemical inhibitor of PIM-1, triggered apoptosis in MM."
"3'UTRs of LIN7C, ARHGAP12, PALS1, RND1, and PVRL1 Harbor miRNA Binding Sites that Are Directly Targeted by miR-199a-5p in Luciferase Assay",The expression level of miR-195-5p was measured in 40 breast cancer specimens and adjacent normal breast tissues by quantitative polymerase chain reaction (qPCR).
The 3'UTR Region of FMNL2 mRNA Is a Direct Target of miR-137,"In miR-133aTg mice, cardiac-specific miR-133a overexpression prevented upregulation of TAT and suppression of TH in the heart after streptozotocin was administered."
Syndecan-1 is a regulatory target of microRNA miR-10b in 12Z endometriotic cells and primary eutopic endometrial stroma cells,Expression of Trpm/miR-204 and a few of its targets are also Pax6-dependent in medaka fish eyes.
miR-107 downregulates CDK6 and Notch-2 protein levels.,"We further found that miR-93 and miR-98 are expressed at higher levels in small-cell lung cancer cell lines (SCLC) than in non-small-cell lung cancer cell lines (NSCLC) and immortalized human bronchial epithelial cells (HBEC), and that miR-197 is expressed at higher levels in both SCLCs and NSCLCs than in HBECs."
(A) Target scan and miRBase software predicted seed matching between miR-107 and CDK6 or Notch-2 3-UTR sequences,"By tracking a potential regulator of another feature of PDAC precursors, acquisition of foregut or gastric epithelial gene signature, we herein report that aberrant overexpression of ecotropic viral integration site 1 (EVI1) oncoprotein, which is usually absent in normal pancreatic duct, is a widespread marker across the full spectrum of human PDAC precursors and PDAC."
"The overexpression of miR-708 reduced the expression of Akt1, CCND1, MMP2, EZH2, Parp-1 and Bcl2 in A172 and T98G cells","In this present study, we aimed to investigate the role of miR-769 and its target genes in human melanoma."
miR-200c decreases the metastatic ability or renal carcinoma cells by upregulating E-cadherin through ZEB1 and that modulating the expression of miR-200c could influence Akt protein levels,We have identified the evolutionarily conserved gonadal microRNAs miR-202-5p and miR-202-3p as having a potential role in regulating mouse embryonic gonad differentiation.
Expression of miR-195 or knockdown of Raf-1 can similarly reduce tumor cell survival but increase apoptosis through downregulation of Raf-1 and Bcl-2 and P-glycoprotein expression,"Here, we examine how intracellular cholesterol regulates RIP140 expression, and we evaluate the effect of RIP140 expression on macrophage proinflammatory potential."
"Reduced levels of miR-221* and miR-224 increase levels of MBD2, thereby decreasing expression of the metastasis suppressor maspin",Ossification of the ligamentum flavum (OLF) is a pathology almost only reported in East Asian countries.
Downregulation of miR-768-3p and subsequent upregulation of eIF4E as an important mechanism in addition to phosphorylation of eIF4E responsible for MEK/ERK-mediated enhancement of protein synthesis in melanoma,Immunohistochemistry (IHC) was used for the detection of hTERT protein expression.
"Ectopic expression of let-7e was sufficient to reduce proliferation and downregulate MYCN, AURKB, and LIN28, the latter via a double-negative feedback loop",The platelet-derived growth factor (PDGF) signaling pathway is a critical regulator of animal development and homeostasis.
Silencing of miR-203 using an antimiR resulted in an upregulation of its reported target genes SOCS3 and TP73L,It requires a tight interaction between endothelial cells and their surrounding environment.
Spred1 is a target gene of chicken miR-126,Reducing the expression of these target genes by siRNA or inhibition of autophagy both sensitized GC cells to chemotherapy.
"Aluminum-sulfate, when incubated with microglial cells, induces the up-regulation of an NF-kB-sensitive microRNA-34a (miRNA-34a; chr1p36) that is known to target the TREM2 mRNA 3'-untranslated region (3'-UTR), significantly down-regulating TREM2 expression",The CC genotype was associated with reduced SET8 protein expression based on immunostaining of 192 NSCLC tissue sample (P = 0.007).
"Overexpression of miR-181a downregulated BCRP expression, and sensitized MX-resistant MCF-7/MX cells to MX","Clinically, our data reveal that overexpression of miR-363 correlates with the poor survival outcomes in patients with gastric cancer, and docetaxel + cisplatin + 5-FU (DCF) regimen response is impaired in patients with miR-363 overexpression."
miR-133a may inhibit lung cancer metastasis by targeting MMP-14 and may be used as an anti-metastasic therapy in lung cancer patients,Whereas restoration of PDCD4 expression could partially attenuate the function of miR-320a in pancreatic cancer.
"miR-26a promoted neurite outgrowth via the suppression of PTEN expression, indicating that miR-26a is important in neuronal development and morphogenesis","In this study, we found that miR-21 was expressed in AFs and overexpressed in MFs."
"we demonstrate that miR-520c-3p directly targets translation initiation factor, eIF4GII mRNA and negatively regulates eIF4GII protein synthesis.",Here we investigated the possible roles of microRNAs in regulating metastasis in the paired colon cancer cells SW480 and SW620.
miR-146a is a novel regulator of VSMC fate and may be a new biomarker or therapeutical target for proliferative cardiovascular disease,Human metastatic lesions and mouse tongue tumors showed increased nuclear c-Myc expression.
"miR-203 is an IFN-inducible miRNA that can negatively regulate a number of cellular mRNAs, including an IFN-stimulated gene target, IFIT1/ISG56, by destabilizing its mRNA transcript","The samples were standardized by RT-PCR measurements of a set of mRNAs, including known dendritic mRNAs, in these two compartments."
miR-148a directly targeted MAFB mRNA by binding to the 3' untranslated region (3'UTR) and repressed MAFB protein expression,BACKGROUND: The molecular mechanism between Helicobacter pylori (H. pylori) infection and gastric cancer remained largely unknown.
miR-29a could regulate TGF-B-induced EMT by affecting DNA methylation via the suppression of DNMT,CONCLUSION: These results indicate that miR-200b exerts tumor-suppressive effects in NPC carcinogenesis through the suppression of Notch1 expression and suggest a therapeutic application of miR-200b in NPC.
"High mobility group AT-hook 1 (HMGA1), a gene that modulates cell cycle transition and cell motility, was verified as a novel target of miR-26a in bladder cancer","Independent inhibition of c-FOS and overexpression of miR-101 expression levels significantly suppressed U2OS cell proliferation, migration and invasion (P<0.01)."
rs4919510C>G in miR-608 as a simple marker to predict LRR in patients with radiotherapy treated nasopharyngeal carcinoma,"Cell viability, migration, and invasion assays were used to determine the role of miR-133a in regulation of breast cancer cell growth, migration, and invasion, respectively."
